"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"43","LVA","Latvia","B05","Mining of coal and lignite",1995,0.028,"A","Normal value","EUR","Euro"
"44","LVA","Latvia","B05","Mining of coal and lignite",2001,0.075,"A","Normal value","EUR","Euro"
"45","LVA","Latvia","B05","Mining of coal and lignite",2007,0.395,"A","Normal value","EUR","Euro"
"46","LVA","Latvia","B05","Mining of coal and lignite",2013,0,"A","Normal value","EUR","Euro"
"47","LVA","Latvia","B05","Mining of coal and lignite",2019,0,"A","Normal value","EUR","Euro"
"48","CYP","Cyprus","B","Mining and quarrying",1995,19,"A","Normal value","EUR","Euro"
"49","CYP","Cyprus","B","Mining and quarrying",2001,26,"A","Normal value","EUR","Euro"
"50","CYP","Cyprus","B","Mining and quarrying",2007,50.7,"A","Normal value","EUR","Euro"
"51","CYP","Cyprus","B","Mining and quarrying",2013,18.9,"A","Normal value","EUR","Euro"
"52","CYP","Cyprus","B","Mining and quarrying",2019,27,"A","Normal value","EUR","Euro"
"53","USA","United States","B05","Mining of coal and lignite",1998,13721.957,"A","Normal value","USD","US dollar"
"54","USA","United States","B05","Mining of coal and lignite",2004,12356.813,"A","Normal value","USD","US dollar"
"55","USA","United States","B05","Mining of coal and lignite",2010,30376.249,"A","Normal value","USD","US dollar"
"56","USA","United States","B05","Mining of coal and lignite",2016,18683.819,"A","Normal value","USD","US dollar"
"57","CMR","Cameroon","B","Mining and quarrying",1996,354337.306,"A","Normal value","XAF","CFA franc - BEAC"
"58","CMR","Cameroon","B","Mining and quarrying",2002,396598.405,"A","Normal value","XAF","CFA franc - BEAC"
"59","CMR","Cameroon","B","Mining and quarrying",2008,769916.081,"A","Normal value","XAF","CFA franc - BEAC"
"60","CMR","Cameroon","B","Mining and quarrying",2014,785140.922,"A","Normal value","XAF","CFA franc - BEAC"
"61","CMR","Cameroon","B","Mining and quarrying",2020,593689,"A","Normal value","XAF","CFA franc - BEAC"
"62","COL","Colombia","B07","Mining of metal ores",2007,3999000,"A","Normal value","COP","Colombian peso"
"63","COL","Colombia","B07","Mining of metal ores",2013,3313000,"A","Normal value","COP","Colombian peso"
"64","COL","Colombia","B07","Mining of metal ores",2019,4163000,"A","Normal value","COP","Colombian peso"
