"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"255","ESP","Spain","H","Transportation and storage",2010,43633,"A","Normal value","EUR","Euro"
"256","ESP","Spain","H","Transportation and storage",2012,43212,"A","Normal value","EUR","Euro"
"257","ESP","Spain","H","Transportation and storage",2014,44221,"A","Normal value","EUR","Euro"
"258","ESP","Spain","H","Transportation and storage",2016,46637,"A","Normal value","EUR","Euro"
"259","ESP","Spain","H","Transportation and storage",2018,49518,"A","Normal value","EUR","Euro"
"260","ESP","Spain","H","Transportation and storage",2020,40016,"A","Normal value","EUR","Euro"
"261","ESP","Spain","H","Transportation and storage",2022,51624,"P","Provisional value","EUR","Euro"
"262","EST","Estonia","H50","Water transport",1995,41.47,"A","Normal value","EUR","Euro"
"263","EST","Estonia","H50","Water transport",1997,47.16,"A","Normal value","EUR","Euro"
"264","EST","Estonia","H50","Water transport",1999,57.23,"A","Normal value","EUR","Euro"
"265","EST","Estonia","H50","Water transport",2001,56.03,"A","Normal value","EUR","Euro"
"266","EST","Estonia","H50","Water transport",2003,66.6,"A","Normal value","EUR","Euro"
"267","EST","Estonia","H50","Water transport",2005,76.49,"A","Normal value","EUR","Euro"
"268","EST","Estonia","H50","Water transport",2007,116.63,"A","Normal value","EUR","Euro"
"269","EST","Estonia","H50","Water transport",2009,107.85,"A","Normal value","EUR","Euro"
"270","EST","Estonia","H50","Water transport",2011,128.83,"A","Normal value","EUR","Euro"
"271","EST","Estonia","H50","Water transport",2013,118.11,"A","Normal value","EUR","Euro"
"272","EST","Estonia","H50","Water transport",2015,142.03,"A","Normal value","EUR","Euro"
"273","EST","Estonia","H50","Water transport",2017,134.3,"A","Normal value","EUR","Euro"
"274","EST","Estonia","H50","Water transport",2019,168.17,"A","Normal value","EUR","Euro"
"275","EST","Estonia","H50","Water transport",2021,114.45,"A","Normal value","EUR","Euro"
"276","SEN","Senegal","H50","Water transport",2014,4321,"A","Normal value","XOF","CFA Franc - BCEAO"
"277","SEN","Senegal","H50","Water transport",2016,4336,"A","Normal value","XOF","CFA Franc - BCEAO"
"278","SEN","Senegal","H50","Water transport",2018,7761,"A","Normal value","XOF","CFA Franc - BCEAO"
"279","SEN","Senegal","H50","Water transport",2020,5099,"A","Normal value","XOF","CFA Franc - BCEAO"
"280","SEN","Senegal","H50","Water transport",2022,11708,"A","Normal value","XOF","CFA Franc - BCEAO"
"281","IRL","Ireland","H","Transportation and storage",1996,1926.137,"A","Normal value","EUR","Euro"
"282","IRL","Ireland","H","Transportation and storage",1998,2703.69,"A","Normal value","EUR","Euro"
"283","IRL","Ireland","H","Transportation and storage",2000,3636.494,"A","Normal value","EUR","Euro"
"284","IRL","Ireland","H","Transportation and storage",2002,4144.019,"A","Normal value","EUR","Euro"
"285","IRL","Ireland","H","Transportation and storage",2004,4964.844,"A","Normal value","EUR","Euro"
"286","IRL","Ireland","H","Transportation and storage",2006,5864.322,"A","Normal value","EUR","Euro"
"287","IRL","Ireland","H","Transportation and storage",2008,5869.217,"A","Normal value","EUR","Euro"
"288","IRL","Ireland","H","Transportation and storage",2010,5684.422,"A","Normal value","EUR","Euro"
"289","IRL","Ireland","H","Transportation and storage",2012,5532.336,"A","Normal value","EUR","Euro"
"290","IRL","Ireland","H","Transportation and storage",2014,6143.614,"A","Normal value","EUR","Euro"
"291","IRL","Ireland","H","Transportation and storage",2016,6640.867,"A","Normal value","EUR","Euro"
